Id,Time[ns],0:I²C: Address/Data
922,5144561620.00,Start
923,5144562920.00,Address read: DF
924,5144570800.00,Read
925,5144571960.00,ACK
926,5144573340.00,Data read: 33
927,5144582340.00,ACK
928,5144583480.00,Data read: 01
929,5144592420.00,ACK
930,5144593560.00,Data read: 28
931,5144602520.00,ACK
932,5144603660.00,Data read: 01
933,5144612600.00,ACK
934,5144613740.00,Data read: 02
935,5144622700.00,ACK
936,5144623840.00,Data read: 05
937,5144632780.00,ACK
938,5144633920.00,Data read: 00
939,5144642860.00,ACK
940,5144644000.00,Data read: 01
941,5144652960.00,ACK
942,5144654100.00,Data read: 01
943,5144663040.00,ACK
944,5144664180.00,Data read: 00
945,5144673140.00,ACK
946,5144674280.00,Data read: 01
947,5144683220.00,ACK
948,5144684360.00,Data read: 00
949,5144693320.00,ACK
950,5144694460.00,Data read: 00
951,5144703400.00,ACK
952,5144704540.00,Data read: 00
953,5144713480.00,NACK
954,5144715220.00,Stop
955,5144721440.00,Start
956,5144722800.00,Address write: DE
957,5144730740.00,Write
958,5144731900.00,ACK
959,5144733300.00,Data write: B8
960,5144742380.00,ACK
961,5144743720.00,Data write: 01
962,5144752820.00,ACK
963,5144754160.00,Data write: 82
964,5144763240.00,ACK
965,5144764600.00,Data write: 03
966,5144773680.00,ACK
967,5144775040.00,Data write: 21
968,5144784120.00,ACK
969,5144785460.00,Data write: 06
970,5144794540.00,ACK
971,5144795900.00,Data write: 00
972,5144805000.00,ACK
973,5144806340.00,Data write: 01
974,5144815440.00,ACK
975,5144816780.00,Data write: 0A
976,5144825860.00,ACK
977,5144827220.00,Data write: 09
978,5144836300.00,ACK
979,5144837640.00,Data write: 00
980,5144846740.00,ACK
981,5144848100.00,Data write: 00
982,5144857180.00,ACK
983,5144858540.00,Data write: 00
984,5144867620.00,ACK
985,5144868980.00,Data write: 00
986,5144878080.00,ACK
987,5144879420.00,Data write: 01
988,5144888520.00,ACK
989,5144890420.00,Stop
990,5369556440.00,Start
991,5369557720.00,Address read: DF
992,5369565620.00,Read
993,5369566780.00,ACK
994,5369568160.00,Data read: 50
995,5369577140.00,ACK
996,5369578280.00,Data read: 01
997,5369587240.00,ACK
998,5369588380.00,Data read: 28
999,5369597320.00,ACK
1000,5369598460.00,Data read: 03
1001,5369607420.00,ACK
1002,5369608560.00,Data read: 22
1003,5369617500.00,ACK
1004,5369618640.00,Data read: 01
1005,5369627600.00,ACK
1006,5369628740.00,Data read: 00
1007,5369637680.00,ACK
1008,5369638820.00,Data read: 01
1009,5369647760.00,ACK
1010,5369648900.00,Data read: 00
1011,5369657860.00,ACK
1012,5369659000.00,Data read: 00
1013,5369667940.00,NACK
1014,5369669680.00,Stop
1015,5369686740.00,Start
1016,5369688080.00,Address write: DE
1017,5369696040.00,Write
1018,5369697200.00,ACK
1019,5369698600.00,Data write: C4
1020,5369707680.00,ACK
1021,5369709020.00,Data write: 01
1022,5369718120.00,ACK
1023,5369719460.00,Data write: 82
1024,5369728540.00,ACK
1025,5369729900.00,Data write: 03
1026,5369738980.00,ACK
1027,5369740340.00,Data write: 01
1028,5369749420.00,ACK
1029,5369750780.00,Data write: 44
1030,5369759860.00,ACK
1031,5369761200.00,Data write: 00
1032,5369770300.00,ACK
